Archivo,Coeficiente de correlación lineal,Señal a ruido (SNR),Ganancia óptica,Anchura de la señal (en píxels),Amplitud de pico de la señal (fit),Amplitud de pico de la señal (data),Coeficiente Chi^2,Diferencia Integral,Irregular
1p4Bot_5msexp_(1)_3 Plot Data.csv,3.8217922654478453,23.076687510422254,18.347380829283427,24,90.61679662420343,90.85,3.552464402048076,0.028790695208197978,False
1p4Bot_5msexp_(1)_32 Plot Data.csv,13.189210065502444,8.652274955880976,18.123402111279272,22,100.96160140183434,123.81,9.49731281012616,0.09266500295425661,False
1p4Bot_5msexp_(1)_47 Plot Data.csv,5.465581398502756,4.685996716408925,21.01615100440868,30,101.27536828421685,106.4,17.244900450566938,0.045524599996619834,False
1p4Bot_5msexp_(1)_47_(1) Plot Data.csv,14.225968346525855,0.46160373056122755,41.11791466521277,30,174.18381564624374,174.97000000000003,85.62462607209474,0.10432634703939422,False
1p4Bot_5msexp_(1)_67 Plot Data.csv,3.002380364779166,17.73081829213422,16.956122615880656,27,83.7583802088002,103.01999999999998,4.040476714416827,0.10492215090995734,False
1p4Bot_5msexp_(1)_71 Plot Data.csv,1.1311067639660841,15.652675855958492,17.93938015247084,26,71.63347986664759,101.22999999999999,4.210755106021794,0.00555484797893025,False
1p4Bot_5msexp_(1)_73 Plot Data.csv,22.920840183673455,29.039618239191686,33.79518598245927,28,174.98261767802757,172.66,4.836985181539711,0.06412360228086593,False
1p4Bot_5msexp_(1)_76 Plot Data.csv,3.0775124552892703,5.520617223810677,19.630816029178142,31,81.05219599489232,101.1,11.0382062238176,0.032498654201596026,False
1p4Bot_5msexp_(1)_84 Plot Data.csv,12.436790006944442,5.79196404171649,16.341310572376646,23,88.91946626429234,107.25999999999999,12.09903398351853,0.17182746071422936,False
1p4Bot_5msexp_(1)_87 Plot Data.csv,5.2431307326222685,4.861816698066324,15.591067201849956,26,82.71485113131217,79.46000000000001,13.162398072216359,0.014805593169635138,False
1p4Bot_5msexp_(1)_91 Plot Data.csv,4.617929291352885,3.5270800441655688,15.458246115377747,24,76.64198466130907,96.45,17.242585723611647,0.19743126825254062,False
1p4Bot_5msexp_(1)_99 Plot Data.csv,1.9414171376759561,11.726146452959819,11.93281507036031,15,76.44794987972648,88.42,6.548146254662811,0.036192851739782,False
1p4Bot_5msexp_10 Plot Data.csv,1.062535550516504,0.3879320044596383,21.629356746035477,33,69.50829226336036,86.53,36.46944811490672,0.018784246625985945,False
1p4Bot_5msexp_16 Plot Data.csv,0.04104263531320595,4.713785467769888,5.083845047517884,17,17.50293911616071,31.87,3.815015131426331,0.07817495905309661,True
1p4Bot_5msexp_19 Plot Data.csv,1.3472576530612039e-06,4.315116265566173,7.761349489100499,42,19.424278237156926,34.71,4.658308547223033,0.20962343642692424,True
1p4Bot_5msexp_59 Plot Data.csv,1.2988762912572436,14.352393233976,16.095546385162766,28,68.20523375119606,77.47999999999999,4.160754969725376,0.021770957236989477,False
1p4Bot_5msexp_65 Plot Data.csv,2.0328448686509,6.336455484242544,4.186926236828005,22,23.488316948301105,22.629999999999995,2.578072792962166,0.30832846071568915,True
1p4Bot_5msexp_84 Plot Data.csv,0.6512882538103687,1.2405508339250542,4.5663146614527035,28,18.232926941353362,22.509999999999998,10.601264151725813,0.40679625578483225,True
